title,artist,link
Frieze from the Temple of Athena Nike (left slab) (1827),NA,https://collections.ed.ac.uk/art/record/20625?highlight=*:*
Untitled (2002),Gillian Curry,https://collections.ed.ac.uk/art/record/99939?highlight=*:*
Man in Black (possibly),Claudia Petretti,https://collections.ed.ac.uk/art/record/21482?highlight=*:*
Untitled - Kings and Queens (1969),Michael T R B Turnbull,https://collections.ed.ac.uk/art/record/99446?highlight=*:*
untitled (1984),David Hosie,https://collections.ed.ac.uk/art/record/112340?highlight=*:*
Composition with Sinking Ship and Lightbulb (1986),David Hosie,https://collections.ed.ac.uk/art/record/99529?highlight=*:*
2. (a) Baskerville Serif (1972),Anthony Benjamin,https://collections.ed.ac.uk/art/record/21669?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99421?highlight=*:*
Circus (1950),Cecile E M Johnston,https://collections.ed.ac.uk/art/record/21027?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99474?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21991?highlight=*:*
Seated Female Nude (1939),Heather Measham,https://collections.ed.ac.uk/art/record/21136?highlight=*:*
Seated Nude (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/20933?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99829?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99827?highlight=*:*
Reclining Nude (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21177?highlight=*:*
Portrait of a Woman (1959),V Thomson,https://collections.ed.ac.uk/art/record/20961?highlight=*:*
Untitled (Unknown),J.,https://collections.ed.ac.uk/art/record/21953?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20690?highlight=*:*
Reclining Male Nude (FEB 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
Mourner No. 54 from the Tomb of John the fearless (Pre 1895),Unknown,https://collections.ed.ac.uk/art/record/20610?highlight=*:*
Untitled,McArthur,https://collections.ed.ac.uk/art/record/111043?highlight=*:*
Cow (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53752?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21566?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20671?highlight=*:*
Elders from East Frieze of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20685?highlight=*:*
Standing Male Nude (1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21169?highlight=*:*
Untitled (1965),Hugh Tuckerman,https://collections.ed.ac.uk/art/record/22025?highlight=*:*
Portrait of a Seated Woman (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/21286?highlight=*:*
Portrait of Man in a Hat (1951),Adam Hogg,https://collections.ed.ac.uk/art/record/21239?highlight=*:*
Untitled (1966),Molly Harris,https://collections.ed.ac.uk/art/record/99834?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20710?highlight=*:*
Portrait of a Man,Michael Douleny,https://collections.ed.ac.uk/art/record/21480?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,https://collections.ed.ac.uk/art/record/21351?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,https://collections.ed.ac.uk/art/record/99483?highlight=*:*
Swirlings (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21972?highlight=*:*
Reclining Male Nude (1958),Ian Hodkinson,https://collections.ed.ac.uk/art/record/20880?highlight=*:*
Seascape (1978),Michael Kinane,https://collections.ed.ac.uk/art/record/21492?highlight=*:*
Putto with a fish,Unknown,https://collections.ed.ac.uk/art/record/20540?highlight=*:*
Back of Standing Male Nude with Stick (1954),John P Busby,https://collections.ed.ac.uk/art/record/21377?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson,https://collections.ed.ac.uk/art/record/21445?highlight=*:*
Buildings,J Shore,https://collections.ed.ac.uk/art/record/21494?highlight=*:*
Female Nude with Pitcher,Samuel John Peploe,https://collections.ed.ac.uk/art/record/20736?highlight=*:*
The Cape of Good Hope Pub,Ella Smith,https://collections.ed.ac.uk/art/record/21429?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Seated Female Nude (1959),C Byron,https://collections.ed.ac.uk/art/record/20917?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20728?highlight=*:*
Step 3 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21308?highlight=*:*
Barley Field (1963),Anne E Jones,https://collections.ed.ac.uk/art/record/99257?highlight=*:*
Seated Female Nude (1953),Diana Douglas-Hamilton,https://collections.ed.ac.uk/art/record/20927?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20877?highlight=*:*
Abstract Landscape (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21171?highlight=*:*
Untitled (1965),Julia A M Barnard,https://collections.ed.ac.uk/art/record/99382?highlight=*:*
